Recombinations
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 105, at = 71, to = 4)], startingpoint = 71, pathevaluation = 0.9999999999572842)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 180, at = 70, to = 53)], startingpoint = 70, pathevaluation = 0.9999999999969493)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 142, at = 29, to = 59)], startingpoint = 29, pathevaluation = 0.999999999830244)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[], startingpoint = 19, pathevaluation = 0.0)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 163, at = 25, to = 28)], startingpoint = 25, pathevaluation = 0.9999999999985426)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 101, at = 40, to = 59)], startingpoint = 40, pathevaluation = 0.9999999999198567)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[], startingpoint = 74, pathevaluation = 0.0)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 209, at = 52, to = 44)], startingpoint = 52, pathevaluation = 0.47946578477734636)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 170, at = 43, to = 70)], startingpoint = 43, pathevaluation = 0.9999998910377105)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 94, at = 50, to = 33)], startingpoint = 50, pathevaluation = 0.9999999565883616)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 160, at = 30, to = 38)], startingpoint = 30, pathevaluation = 0.9970581830457634)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 103, at = 48, to = 26)], startingpoint = 48, pathevaluation = 0.9999999999922644)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 88, at = 53, to = 55)], startingpoint = 53, pathevaluation = 0.9999999999974071)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 153, at = 68, to = 56)], startingpoint = 68, pathevaluation = 0.49999999999482336)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 168, at = 9, to = 43)], startingpoint = 9, pathevaluation = 0.9999999999863236)"
